Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D4.0mm_P2.00mm,1,22uF,
"C2, C3",C_Axial_P7.5mm_P2.50mm,2,0.1uF,
CART1,PCB_4-CART-72-2.50-CONN,1,EDGE-CONN-72-PIN-PCB_4,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,A17,
JP2,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,OE,
JP3,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,D2,
U1,DIP-32_W15.24mm,1,SST39SF020,
U2,DIP-28_W15.24mm,1,HM6264ALP,
U3,DIP-16_W7.62mm,1,6113B1,
U4,DIP-16_W7.62mm,1,74LS161,
U5,DIP-14_W7.62mm,1,74HC02,
